"Step","generous-silence-10 - train/avg_reward_last_500","generous-silence-10 - train/avg_reward_last_500__MIN","generous-silence-10 - train/avg_reward_last_500__MAX"
"0","770","770","770"
"1","699.5","699.5","699.5"
"2","673","673","673"
"3","567.5","567.5","567.5"
"5","461.6666666666667","461.6666666666667","461.6666666666667"
"6","431.14285714285717","431.14285714285717","431.14285714285717"
"7","408.5","408.5","408.5"
"8","390.6666666666667","390.6666666666667","390.6666666666667"
"9","426","426","426"
"11","461.8333333333333","461.8333333333333","461.8333333333333"
"12","445.3076923076923","445.3076923076923","445.3076923076923"
"13","431.5","431.5","431.5"
"14","419.26666666666665","419.26666666666665","419.26666666666665"
"15","408.3125","408.3125","408.3125"
"16","398.5882352941176","398.5882352941176","398.5882352941176"
"17","390.1666666666667","390.1666666666667","390.1666666666667"
"18","382.7894736842105","382.7894736842105","382.7894736842105"
"19","376.25","376.25","376.25"
"20","370.3333333333333","370.3333333333333","370.3333333333333"
"21","364.77272727272725","364.77272727272725","364.77272727272725"
"22","376.4782608695652","376.4782608695652","376.4782608695652"
"23","371.25","371.25","371.25"
"25","361.9230769230769","361.9230769230769","361.9230769230769"
"26","357.74074074074076","357.74074074074076","357.74074074074076"
"27","353.89285714285717","353.89285714285717","353.89285714285717"
"28","350.3103448275862","350.3103448275862","350.3103448275862"
"29","347","347","347"
"30","343.83870967741933","343.83870967741933","343.83870967741933"
"31","352.625","352.625","352.625"
"32","349.4848484848485","349.4848484848485","349.4848484848485"
"33","346.55882352941177","346.55882352941177","346.55882352941177"
"34","343.8285714285714","343.8285714285714","343.8285714285714"
"35","341.25","341.25","341.25"
"36","338.7837837837838","338.7837837837838","338.7837837837838"
"37","336.4736842105263","336.4736842105263","336.4736842105263"
"38","334.2307692307692","334.2307692307692","334.2307692307692"
"39","332.125","332.125","332.125"
"40","330.1219512195122","330.1219512195122","330.1219512195122"
"41","328.1904761904762","328.1904761904762","328.1904761904762"
"42","335.16279069767444","335.16279069767444","335.16279069767444"
"43","333.25","333.25","333.25"
"44","348.1333333333333","348.1333333333333","348.1333333333333"
"45","346","346","346"
"46","343.97872340425533","343.97872340425533","343.97872340425533"
"47","342.0208333333333","342.0208333333333","342.0208333333333"
"48","340.14285714285717","340.14285714285717","340.14285714285717"
"49","338.34","338.34","338.34"
"50","336.54901960784315","336.54901960784315","336.54901960784315"
"51","334.90384615384613","334.90384615384613","334.90384615384613"
"52","333.3018867924528","333.3018867924528","333.3018867924528"
"53","338.0925925925926","338.0925925925926","338.0925925925926"
"54","336.5090909090909","336.5090909090909","336.5090909090909"
"55","334.9642857142857","334.9642857142857","334.9642857142857"
"56","333.49122807017545","333.49122807017545","333.49122807017545"
"57","338.67241379310343","338.67241379310343","338.67241379310343"
"58","337.1694915254237","337.1694915254237","337.1694915254237"
"59","342.15","342.15","342.15"
"60","340.655737704918","340.655737704918","340.655737704918"
"61","339.14516129032256","339.14516129032256","339.14516129032256"
"62","337.6825396825397","337.6825396825397","337.6825396825397"
"64","340.4","340.4","340.4"
"65","344.6666666666667","344.6666666666667","344.6666666666667"
"66","348.3731343283582","348.3731343283582","348.3731343283582"
"67","358.1029411764706","358.1029411764706","358.1029411764706"
"68","356.536231884058","356.536231884058","356.536231884058"
"69","355.01428571428573","355.01428571428573","355.01428571428573"
"70","353.53521126760563","353.53521126760563","353.53521126760563"
"71","352.09722222222223","352.09722222222223","352.09722222222223"
"72","350.7260273972603","350.7260273972603","350.7260273972603"
"73","349.3918918918919","349.3918918918919","349.3918918918919"
"74","352.81333333333333","352.81333333333333","352.81333333333333"
"75","356.13157894736844","356.13157894736844","356.13157894736844"
"76","359.8051948051948","359.8051948051948","359.8051948051948"
"77","363.2307692307692","363.2307692307692","363.2307692307692"
"78","366.53164556962025","366.53164556962025","366.53164556962025"
"80","373.04938271604937","373.04938271604937","373.04938271604937"
"81","381.0609756097561","381.0609756097561","381.0609756097561"
"82","383.9759036144578","383.9759036144578","383.9759036144578"
"83","391.85714285714283","391.85714285714283","391.85714285714283"
"84","390.1764705882353","390.1764705882353","390.1764705882353"
"85","388.5581395348837","388.5581395348837","388.5581395348837"
"86","391.37931034482756","391.37931034482756","391.37931034482756"
"87","398.64772727272725","398.64772727272725","398.64772727272725"
"88","403.2134831460674","403.2134831460674","403.2134831460674"
"89","407.6777777777778","407.6777777777778","407.6777777777778"
"90","414.31868131868134","414.31868131868134","414.31868131868134"
"91","416.9021739130435","416.9021739130435","416.9021739130435"
"92","419.13978494623655","419.13978494623655","419.13978494623655"
"93","421.6170212765957","421.6170212765957","421.6170212765957"
"94","423.70526315789476","423.70526315789476","423.70526315789476"
"95","425.8125","425.8125","425.8125"
"96","424.0103092783505","424.0103092783505","424.0103092783505"
"97","422.2448979591837","422.2448979591837","422.2448979591837"
"98","425.6969696969697","425.6969696969697","425.6969696969697"
"99","429.4","429.4","429.4"
"100","435.58415841584156","435.58415841584156","435.58415841584156"
"101","433.7647058823529","433.7647058823529","433.7647058823529"
"102","431.99029126213594","431.99029126213594","431.99029126213594"
"103","430.2307692307692","430.2307692307692","430.2307692307692"
"104","432.34285714285716","432.34285714285716","432.34285714285716"
"105","435.9622641509434","435.9622641509434","435.9622641509434"
"106","441.58878504672896","441.58878504672896","441.58878504672896"
"107","443.26851851851853","443.26851851851853","443.26851851851853"
"108","444.8807339449541","444.8807339449541","444.8807339449541"
"109","452.6545454545454","452.6545454545454","452.6545454545454"
"110","450.7117117117117","450.7117117117117","450.7117117117117"
"112","450.716814159292","450.716814159292","450.716814159292"
